일,원두,커피,,
2022-10-15,2,33,,
2022-10-16,1,25,,
2022-10-17,4,37,,
2022-10-18,3,34,,
2022-10-19,1,34,,
2022-10-20,3,33,,
2022-10-21,2,38,,
2022-10-22,1,41,,
2022-10-23,2,36,,
2022-10-24,2,36,,
2022-10-25,2,36,,
2022-10-26,2,34,,
2022-10-27,3,38,,
2022-10-28,2,31,,
2022-10-29,1,35,,
2022-10-30,1,42,,
2022-10-31,2,28,,
2022-11-01,2,41,,
2022-11-02,2,34,,
2022-11-03,2,36,,
2022-11-04,5,32,,
2022-11-05,1,41,,
2022-11-06,2,42,,
2022-11-07,4,40,,
2022-11-08,2,40,,
2022-11-09,3,40,,
2022-11-10,3,36,,
2022-11-11,2,32,,
2022-11-12,2,50,,
2022-11-13,2,36,,
2022-11-14,3,35,,
2022-11-15,3,42,,
2022-11-16,4,43,,
2022-11-17,3,33,,
2022-11-18,3,32,,
2022-11-19,2,40,,
2022-11-20,1,37,,
2022-11-21,3,29,,
2022-11-22,2,36,,
2022-11-23,3,44,,
2022-11-24,3,44,,
2022-11-25,2,34,,
2022-11-26,2,42,,
2022-11-27,1,35,,
2022-11-28,2,37,,
2022-11-29,2,37,,
2022-11-30,3,35,,
2022-12-01,2,41,,
2022-12-02,3,42,,
2022-12-03,2,33,,
2022-12-04,2,38,,
2022-12-05,2,38,,
2022-12-06,2,33,,
2022-12-07,2,35,,
2022-12-08,4,37,,
2022-12-09,3,34,,
2022-12-10,1,45,,
2022-12-11,1,38,,
2022-12-12,3,44,,
2022-12-13,3,39,,
2022-12-14,3,33,,
2022-12-15,3,35,,
2022-12-16,3,40,,
2022-12-17,1,45,,
2022-12-18,2,36,,
2022-12-19,4,36,,
2022-12-20,2,38,,
2022-12-21,2,32,,
2022-12-22,3,34,,
2022-12-23,1,34,,
2022-12-24,2,34,,
2022-12-25,2,38,,
2022-12-26,2,33,,
2022-12-27,3,36,,
2022-12-28,3,40,,
2022-12-29,2,35,,
2022-12-30,3,62,,
2022-12-31,2,47,,
2023-01-01,1,41,,
2023-01-02,3,42,,
2023-01-03,1,42,,
2023-01-04,3,40,,
2023-01-05,3,38,,
2023-01-06,3,35,,
2023-01-07,1,44,,
2023-01-08,2,35,,
2023-01-09,3,37,,
2023-01-10,3,41,,
2023-01-11,4,42,,
2023-01-12,3,37,,
2023-01-13,2,41,,
2023-01-14,2,40,,
2023-01-15,2,43,,
2023-01-16,2,44,,
2023-01-17,3,45,,
2023-01-18,2,36,,
2023-01-19,2,36,,
2023-01-20,2,29,,
2023-01-21,2,41,,
2023-01-22,2,43,,
2023-01-23,2,39,,
2023-01-24,2,36,,
2023-01-25,3,38,,
2023-01-26,2,40,,
2023-01-27,2,39,,
2023-01-28,1,42,,
2023-01-29,2,38,,
2023-01-30,3,38,,
2023-01-31,4,45,,
2023-02-01,5,41,,
2023-02-02,5,35,,
2023-02-03,5,38,,
2023-02-04,2,38,,
2023-02-05,2,36,,
2023-02-06,4,41,,
2023-02-07,3,44,,
