Category: All categories

Town/City,원두: (16/10/2022 - 16/10/2023)
Muju-gun,100
Seongnam-si,23
Uijeongbu-si,22
Gunpo-si,21
Uiwang-si,21
Yongin-si,20
Seoul,20
Jeju-si,20
Gwangmyeong-si,20
Namyangju-si,20
Paju-si,19
Daejeon,19
Hanam-si,19
Anyang-si,19
Bucheon-si,19
Yeongi-gun,18
Wonju-si,17
Suwon-si,17
Goyang-si,16
Cheongju-si,16
Busan,16
Incheon,16
Daegu,16
Cheonan-si,16
Gwangju,15
Hwaseong-si,15
Ulsan,15
Gimpo-si,14
Pohang-si,13
Gimhae-si,13
Siheung-si,13
Jeonju-si,13
Ansan-si,12
Gwacheon-si,11
Pyeongtaek-si,8
Cheongdo-gun,
Boeun-gun,
Yeongdeok-gun,
Seongju-gun,
Danyang-gun,
Hwasun-gun,
Cheongyang-gun,
Buyeo-gun,
Gapyeong-gun,
Gongju-si,
Goseong-gun,
Yangpyeong-gun,
Sokcho-si,
Boryeong-si,
Gimcheon-si,
Jincheon-gun,
Nonsan-si,
Mungyeong-si,
Okcheon-gun,
Tongyeong-si,
Geumsan-gun,
Jinju-si,
Yesan-gun,
Chungju-si,
Anseong-si,
Muan-gun,
Cheorwon-gun,
Yeoncheon-gun,
Yeoju-gun,
Naju-si,
Haman-gun,
Seosan-si,
Icheon-si,
Osan-si,
Pocheon-si,
Chuncheon-si,
Yeongju-si,
Gwangju-si,
Hongcheon-gun,
Geoje-si,
Donghae-si,
Gyeongju-si,
Gangneung-si,
Gumi-si,
Iksan-si,
Guri-si,
Sacheon-si,
Asan-si,
Yeongcheon-si,
Goseong-gun,
Yangsan-si,
Gyeongsan-si,
Andong-si,
Jecheon-si,
Yangju-si,
Yeosu-si,
Jeongeup-si,
Mokpo-si,
Suncheon-si,
Hongseong-gun,
Seogwipo-si,
Eumseong-gun,
Gwangyang-si,
Gunsan-si,
Cheongwon-gun,
Jindo-gun,
Ulleung-gun,
Gangjin-gun,
Gunwi-gun,
Seocheon-gun,
Hamyang-gun,
Namhae-gun,
Yeongwol-gun,
Goryeong-gun,
Uiseong-gun,
Uljin-gun,
Sancheong-gun,
Changnyeong-gun,
Hoengseong-gun,
Namwon-si,
Miryang-si,
Wanju-gun,
Chilgok-gun,
Damyang-gun,
Yangyang-gun,
Dangjin-si,
Goheung-gun,
Yanggu-gun,
Taean-gun,
Dongducheon-si,
Pyeongchang-gun,
Gyeryong-si,
Haenam-gun,
Yeongam-gun,
Hadong-gun,
Cheongsong-gun,
Wando-gun,
Yeongdong-gun,
Gimje-si,
Samcheok-si,
Sangju-si,
Imsil-gun,
Boseong-gun,
Jangheung-gun,
Yecheon-gun,
Inje-gun,
Jeungpyeong-gun,
Jeongseon-gun,
Jangseong-gun,
Hampyeong-gun,
Sinan-gun,
Geochang-gun,
