Category: All categories

Week,원두: (South Korea)
2022-10-16,90
2022-10-23,79
2022-10-30,81
2022-11-06,77
2022-11-13,85
2022-11-20,81
2022-11-27,73
2022-12-04,81
2022-12-11,86
2022-12-18,64
2022-12-25,100
2023-01-01,80
2023-01-08,92
2023-01-15,86
2023-01-22,78
2023-01-29,84
2023-02-05,100
2023-02-12,79
2023-02-19,80
2023-02-26,92
2023-03-05,76
2023-03-12,80
2023-03-19,83
2023-03-26,85
2023-04-02,98
2023-04-09,73
2023-04-16,77
2023-04-23,70
2023-04-30,82
2023-05-07,83
2023-05-14,63
2023-05-21,61
2023-05-28,61
2023-06-04,68
2023-06-11,75
2023-06-18,59
2023-06-25,53
2023-07-02,64
2023-07-09,64
2023-07-16,58
2023-07-23,61
2023-07-30,67
2023-08-06,54
2023-08-13,58
2023-08-20,62
2023-08-27,55
2023-09-03,56
2023-09-10,59
2023-09-17,56
2023-09-24,60
2023-10-01,65
2023-10-08,61
