Category: All categories
"원두: (16/10/2022 - 16/10/2023, South Korea)"

TOP
Coffee,100
Coffee bean,61
Starbucks,21
Starbucks,21
Cafe,11
Drip coffee,8
Roasting,8
Grinder,8
Espresso,8
Won Du-jae,6
Coffee roasting,6
Decaffeination,6
Taste,5
Ethiopia,5
Caffè Americano,5
Powder,4
Coffea arabica,4
Geisha,4
Brazil,4
Cold brew coffee,3
Colombia,3
Caffeine,3
Capsule,3
Guatemala,3
Shelf life,3

RISING
Instant coffee,Breakout
De'Longhi,Breakout
Honduras,Breakout
Mockup,Breakout
Momos Coffee,Breakout
Burger King,Breakout
Degassing,Breakout
Human feces,+200%
Yemen,+200%

