날짜,커피,원두
2022-10-15,53.62056,9.06649
2022-10-16,51.30186,9.46664
2022-10-17,35.9864,9.77361
2022-10-18,36.75382,13.21054
2022-10-19,36.82508,16.37888
2022-10-20,37.65827,11.68667
2022-10-21,36.68256,5.2294
2022-10-22,51.11549,4.09472
2022-10-23,49.96436,7.19179
2022-10-24,34.90105,9.18708
2022-10-25,35.81647,11.91141
2022-10-26,35.80551,13.41336
2022-10-27,35.32861,12.56372
2022-10-28,35.47113,11.06725
2022-10-29,48.30894,12.58564
2022-10-30,44.50474,14.60834
2022-10-31,32.85095,24.3381
2022-11-01,36.37559,33.62385
2022-11-02,35.66299,36.09603
2022-11-03,36.41396,19.31151
2022-11-04,35.70136,8.50189
2022-11-05,48.28701,15.1839
2022-11-06,49.0325,25.92775
2022-11-07,35.95351,22.22222
2022-11-08,36.85249,23.66935
2022-11-09,34.42964,17.36008
2022-11-10,36.57841,16.65844
2022-11-11,35.84936,12.0046
2022-11-12,47.05366,4.85665
2022-11-13,46.51099,5.8817
2022-11-14,35.44373,6.94512
2022-11-15,35.45469,6.7752
2022-11-16,34.48994,6.68201
2022-11-17,35.1532,6.238
2022-11-18,37.30197,5.60214
2022-11-19,46.17113,4.28657
2022-11-20,45.74905,5.53637
2022-11-21,34.05689,6.59431
2022-11-22,33.84859,6.48467
2022-11-23,35.43825,6.58334
2022-11-24,32.29731,5.75015
2022-11-25,33.20177,5.59666
2022-11-26,46.54936,4.3962
2022-11-27,45.65038,5.98037
2022-11-28,32.28635,6.94512
2022-11-29,33.33881,7.12053
2022-11-30,33.4594,6.88483
2022-12-01,33.60741,6.12837
2022-12-02,34.96683,5.94748
2022-12-03,41.67625,5.11429
2022-12-04,41.55018,6.27089
2022-12-05,33.44844,6.74231
2022-12-06,33.4594,6.68201
2022-12-07,34.2926,6.86838
2022-12-08,34.34742,5.92556
2022-12-09,33.5197,4.70317
2022-12-10,43.14531,4.05635
2022-12-11,43.03568,6.32023
2022-12-12,31.99035,7.29046
2022-12-13,33.1634,6.90127
2022-12-14,32.76325,7.0712
2022-12-15,31.99035,7.26305
2022-12-16,31.56827,5.8543
2022-12-17,39.56586,3.92479
2022-12-18,40.49224,6.4463
2022-12-19,31.22293,6.26541
2022-12-20,32.46176,7.14246
2022-12-21,30.77892,6.39149
2022-12-22,30.35684,5.90363
2022-12-23,29.4195,4.98273
2022-12-24,33.5197,3.55752
2022-12-25,37.60894,4.55517
2022-12-26,32.6591,6.49016
2022-12-27,34.42416,7.25757
2022-12-28,33.48681,5.98037
2022-12-29,34.2926,5.90363
2022-12-30,34.78046,5.31162
2022-12-31,42.54782,4.82376
2023-01-01,43.97303,5.87074
2023-01-02,33.3717,7.84958
2023-01-03,33.56355,7.44395
2023-01-04,34.04593,6.85194
2023-01-05,33.14696,6.53401
2023-01-06,33.9363,6.2106
2023-01-07,43.04116,5.20747
2023-01-08,44.17584,6.58882
2023-01-09,34.93394,7.90988
2023-01-10,35.58625,7.84958
2023-01-11,36.22759,10.23406
2023-01-12,37.0279,8.61152
2023-01-13,35.57528,9.42827
2023-01-14,45.71616,9.89968
2023-01-15,41.36381,14.99205
2023-01-16,35.0655,5.93104
2023-01-17,36.49619,5.41577
2023-01-18,33.58,4.39072
2023-01-19,31.89716,3.36567
2023-01-20,31.72723,2.94359
2023-01-21,50.23844,2.49958
2023-01-22,77.06517,2.46121
2023-01-23,56.96431,3.50271
2023-01-24,41.59403,5.25132
2023-01-25,34.22134,6.68749
2023-01-26,32.71391,7.20276
2023-01-27,33.25659,7.48232
2023-01-28,41.95581,6.63268
2023-01-29,42.3176,7.43846
2023-01-30,33.83215,8.6773
2023-01-31,34.91202,8.81982
2023-02-01,36.03573,9.20901
2023-02-02,35.87677,7.13698
2023-02-03,35.1258,6.8629
2023-02-04,45.35438,5.72822
2023-02-05,44.18681,6.84646
2023-02-06,36.09055,7.90988
2023-02-07,36.11796,8.78693
2023-02-08,36.51263,8.8253
2023-02-09,36.26596,8.6773
2023-02-10,36.58389,7.14246
2023-02-11,49.60258,7.72899
2023-02-12,46.13824,9.10486
2023-02-13,38.26673,10.15732
2023-02-14,36.98953,9.03908
2023-02-15,37.63087,9.23093
2023-02-16,37.22523,8.77048
2023-02-17,39.42334,8.38677
2023-02-18,48.8845,8.02499
2023-02-19,50.17815,8.30455
2023-02-20,38.54081,9.80101
2023-02-21,40.95817,9.55434
2023-02-22,40.72795,10.06413
2023-02-23,39.87282,9.5379
2023-02-24,39.23696,6.88483
2023-02-25,51.03875,5.90363
2023-02-26,53.87271,6.61623
2023-02-27,40.26749,7.80573
2023-02-28,42.18056,8.27714
2023-03-01,49.37236,9.70783
2023-03-02,38.39828,8.12366
2023-03-03,40.09209,6.9835
2023-03-04,53.69182,5.89815
2023-03-05,54.38798,9.19256
2023-03-06,44.23066,8.75952
2023-03-07,45.85868,9.4776
2023-03-08,45.62846,8.26618
2023-03-09,39.29178,7.53713
2023-03-10,36.68256,6.7149
2023-03-11,52.25565,5.35547
2023-03-12,44.14844,8.80337
2023-03-13,40.28942,11.17688
2023-03-14,43.26591,13.08995
2023-03-15,38.56273,9.63109
2023-03-16,37.87206,8.37581
2023-03-17,38.28865,5.89267
2023-03-18,50.96749,4.82376
2023-03-19,50.74823,6.00778
2023-03-20,37.51575,7.04927
2023-03-21,39.40141,7.32335
2023-03-22,38.48599,6.64912
2023-03-23,39.078,6.78068
2023-03-24,37.83368,5.83237
2023-03-25,51.81713,4.8128
2023-03-26,53.62056,6.50112
2023-03-27,38.11873,7.74543
2023-03-28,38.8697,7.46039
2023-03-29,40.5032,7.53713
2023-03-30,38.87518,7.30143
2023-03-31,39.12733,7.4878
2023-04-01,56.18045,7.69062
2023-04-02,57.44669,7.97566
2023-04-03,39.72482,8.49092
2023-04-04,48.7365,8.60604
2023-04-05,54.57435,8.1127
2023-04-06,42.7616,7.86603
2023-04-07,41.0075,6.22704
2023-04-08,54.0262,4.96628
2023-04-09,54.70591,6.20511
2023-04-10,40.07564,8.24425
2023-04-11,38.92451,8.10721
2023-04-12,38.9574,7.95373
2023-04-13,40.73891,8.10721
2023-04-14,40.33876,6.84098
2023-04-15,50.21652,5.2897
2023-04-16,49.9534,5.95844
2023-04-17,39.91119,7.63032
2023-04-18,39.60423,7.60839
2023-04-19,41.70914,7.13698
2023-04-20,39.56586,8.23877
2023-04-21,39.53297,6.45178
2023-04-22,54.28931,4.40716
2023-04-23,52.28854,5.93652
2023-04-24,37.24716,7.53165
2023-04-25,36.43041,7.50972
2023-04-26,37.14849,7.34528
2023-04-27,38.52436,7.04379
2023-04-28,37.32938,5.70629
2023-04-29,47.83204,5.20747
2023-04-30,58.52655,5.31162
2023-05-01,52.5681,6.86838
2023-05-02,37.27457,7.48232
2023-05-03,39.078,7.23565
2023-05-04,38.08035,5.77207
2023-05-05,46.46165,5.70629
2023-05-06,53.6973,4.68672
2023-05-07,52.83122,6.07904
2023-05-08,42.27374,7.14794
2023-05-09,42.59716,7.40558
2023-05-10,42.00515,7.16987
2023-05-11,41.90648,6.7752
2023-05-12,41.41314,5.59666
2023-05-13,52.9244,4.27561
2023-05-14,55.27051,5.71177
2023-05-15,42.50397,7.35076
2023-05-16,42.21893,7.42202
2023-05-17,41.89552,7.02187
2023-05-18,36.41944,6.64912
2023-05-19,38.91903,5.49251
2023-05-20,56.42712,4.57161
2023-05-21,50.95104,5.65696
2023-05-22,37.95976,7.35076
2023-05-23,39.82349,7.41106
2023-05-24,38.53532,6.74231
2023-05-25,39.39593,6.02971
2023-05-26,37.43901,5.18555
2023-05-27,51.34024,3.95768
2023-05-28,54.01523,4.7525
2023-05-29,46.45617,5.70081
2023-05-30,36.51811,6.62171
2023-05-31,39.63163,6.29282
2023-06-01,37.22523,6.82453
2023-06-02,38.34895,5.70081
2023-06-03,53.5493,4.45102
2023-06-04,56.24074,4.5442
2023-06-05,45.11319,5.36644
2023-06-06,49.85473,5.19103
2023-06-07,37.93235,6.81357
2023-06-08,37.6199,6.52853
2023-06-09,38.72718,5.45414
2023-06-10,52.92989,4.05086
2023-06-11,51.63076,5.18555
2023-06-12,39.59875,7.02735
2023-06-13,41.25417,6.54497
2023-06-14,37.85561,6.49016
2023-06-15,37.78435,6.1503
2023-06-16,40.53061,5.53637
2023-06-17,55.84059,3.82064
2023-06-18,54.38798,4.94436
2023-06-19,39.46719,6.32023
2023-06-20,36.52907,6.24349
2023-06-21,34.89009,5.92007
2023-06-22,37.03338,5.66792
2023-06-23,38.73266,5.05947
2023-06-24,52.32691,3.86449
2023-06-25,50.16718,5.40481
2023-06-26,33.82119,6.48467
2023-06-27,38.7217,6.88483
2023-06-28,36.93471,6.38052
2023-06-29,34.00756,6.04615
2023-06-30,34.76401,5.05399
2023-07-01,52.25017,4.1002
2023-07-02,48.68168,5.34999
2023-07-03,38.65592,6.60527
2023-07-04,35.59721,6.81905
2023-07-05,38.06939,7.05476
2023-07-06,37.95428,6.41341
2023-07-07,35.37247,5.51992
2023-07-08,48.13901,3.78227
2023-07-09,45.65038,5.19103
2023-07-10,37.36775,6.49016
2023-07-11,35.33958,6.33119
2023-07-12,42.345,6.27637
2023-07-13,35.12032,5.62955
2023-07-14,33.86504,5.25681
2023-07-15,43.24398,4.22079
2023-07-16,41.19388,4.74154
2023-07-17,33.65674,6.04067
2023-07-18,35.13128,6.50112
2023-07-19,39.09444,6.04615
2023-07-20,36.85797,5.55829
2023-07-21,38.97933,4.55517
2023-07-22,47.21262,3.51915
2023-07-23,42.03804,4.65932
2023-07-24,36.2824,6.06259
2023-07-25,38.10228,5.70081
2023-07-26,38.57918,5.35547
2023-07-27,39.53297,5.24036
2023-07-28,40.36068,4.93339
2023-07-29,54.19613,3.81516
2023-07-30,53.45612,4.69221
2023-07-31,44.78978,6.24349
2023-08-01,47.41544,6.31475
2023-08-02,46.37943,5.61859
2023-08-03,44.94874,5.25132
2023-08-04,44.14844,4.27561
2023-08-05,53.36841,4.29753
2023-08-06,50.7866,4.98821
2023-08-07,37.89398,5.71726
2023-08-08,40.22912,6.02422
2023-08-09,35.67395,5.54185
2023-08-10,30.0444,5.30614
2023-08-11,34.61053,4.57709
2023-08-12,50.29874,3.61782
2023-08-13,54.80458,4.22627
2023-08-14,46.17113,4.76347
2023-08-15,51.85002,5.15266
2023-08-16,36.52359,6.23252
2023-08-17,39.33015,5.81592
2023-08-18,39.9989,5.08688
2023-08-19,51.92128,4.33042
2023-08-20,51.15386,4.89502
2023-08-21,40.5032,7.35076
2023-08-22,39.18763,6.25445
2023-08-23,35.97544,6.21608
2023-08-24,34.74209,6.27089
2023-08-25,38.84229,4.99369
2023-08-26,52.55166,4.05086
2023-08-27,49.12021,5.0211
2023-08-28,36.03573,6.53949
2023-08-29,34.89557,6.51756
2023-08-30,35.7781,6.7149
2023-08-31,36.73189,5.62407
2023-09-01,36.79767,5.26229
2023-09-02,49.93148,4.04538
2023-09-03,48.22671,4.93888
2023-09-04,36.39752,6.59979
2023-09-05,38.60658,6.13934
2023-09-06,37.15397,5.76659
2023-09-07,37.5322,5.77755
2023-09-08,38.85325,4.9608
2023-09-09,55.13347,3.86997
2023-09-10,51.54853,4.93888
2023-09-11,37.15397,6.75875
2023-09-12,38.67236,6.12837
2023-09-13,35.30669,6.18319
2023-09-14,36.39204,5.94748
2023-09-15,36.73189,4.99917
2023-09-16,47.70048,3.93027
2023-09-17,48.47338,5.61311
2023-09-18,38.01458,6.24349
2023-09-19,37.47738,6.25445
2023-09-20,33.29496,5.82689
2023-09-21,34.5886,6.07356
2023-09-22,36.07959,4.73058
2023-09-23,48.56109,3.67812
2023-09-24,47.51411,4.38524
2023-09-25,32.47272,4.74154
2023-09-26,30.09373,4.44554
2023-09-27,31.87523,2.79011
2023-09-28,58.14284,2.53247
2023-09-29,100.0,2.56536
2023-09-30,65.53198,3.48078
2023-10-01,61.65652,3.67264
